ref,cmd,family,rci,changes_settings,no_prefix,no_wipes_list,multiple_input,context,interface_type,args,required_args,source,entry
3.1,Core commands,Core,/rci/Core/commands,,,no,,,,,,02_commands_core_access_storage_components_crypto(1).md:5,
3.2,access,access,/rci/access,yes,yes,no,yes,,,directory:String;user:String;mode:Keyword;recursive:Keyword,directory;user;mode,02_commands_core_access_storage_components_crypto(1).md:347,
3.3,access-list,access-list,/rci/access-list,yes,yes,no,yes,(config-acl),,name:String,name,02_commands_core_access_storage_components_crypto(1).md:391,entries/access-list.md
3.3.1,access-list auto-delete,access-list,/rci/access-list/auto-delete,yes,yes,no,no,,,,,02_commands_core_access_storage_components_crypto(1).md:434,entries/access-list.md
3.3.2,access-list deny,access-list,/rci/access-list/deny,yes,yes,no,yes,,,tcp:Keyword;udp:Keyword;source:IP address;source-mask:IP-mask;src-port-operator:Keyword;source-port:Integer;source-end-port:Integer;destination:IP address;destination-mask:IP-mask;dst-port-operator:Keyword;destination-port:Integer;icmp:Keyword;esp:Keyword;gre:Keyword;ip:Keyword;ipip:Keyword;destination-end-port:Keyword,source;source-mask;destination;destination-mask,02_commands_core_access_storage_components_crypto(1).md:474,entries/access-list.md
3.3.3,access-list permit,access-list,/rci/access-list/permit,yes,yes,no,yes,,,tcp:Keyword;udp:Keyword;source:IP address;source-mask:IP-mask;src-port-operator:Keyword;source-port:Integer;source-end-port:Integer;destination:IP address;destination-mask:IP-mask;dst-port-operator:Keyword;destination-port:Integer;icmp:Keyword;esp:Keyword;gre:Keyword;ip:Keyword;ipip:Keyword;destination-end-port:Keyword,source;source-mask;destination;destination-mask,02_commands_core_access_storage_components_crypto(1).md:586,entries/access-list.md
3.3.4,access-list rule,access-list,/rci/access-list/rule,yes,yes,no,yes,,,index:Integer;disable:Keyword;schedule:Schedule;order:Integer;description:Keyword;new-index:Keyword,index;schedule,02_commands_core_access_storage_components_crypto(1).md:698,entries/access-list.md
3.4,afp,afp,/rci/afp,no,no,no,no,(config-afp),,,,02_commands_core_access_storage_components_crypto(1).md:759,entries/afp.md
3.4.1,afp automount,afp,/rci/afp/automount,yes,yes,no,no,,,,,02_commands_core_access_storage_components_crypto(1).md:784,entries/afp.md
3.4.2,afp permissive,afp,/rci/afp/permissive,yes,yes,no,no,,,,,02_commands_core_access_storage_components_crypto(1).md:818,entries/afp.md
3.4.3,afp share,afp,/rci/afp/share,yes,yes,yes,yes,,,label:String;mount:String;description:Keyword,label;mount,02_commands_core_access_storage_components_crypto(1).md:853,entries/afp.md
3.5,cifs,cifs,/rci/cifs,no,no,no,no,(config-cifs),,,,02_commands_core_access_storage_components_crypto(1).md:905,entries/cifs.md
3.5.1,cifs automount,cifs,/rci/cifs/automount,yes,yes,no,no,,,,,02_commands_core_access_storage_components_crypto(1).md:930,entries/cifs.md
3.5.2,cifs map-hidden,cifs,/rci/cifs/map-hidden,yes,yes,no,no,,,,,02_commands_core_access_storage_components_crypto(1).md:964,entries/cifs.md
3.5.3,cifs permissive,cifs,/rci/cifs/permissive,yes,yes,no,no,,,,,02_commands_core_access_storage_components_crypto(1).md:997,entries/cifs.md
3.5.4,cifs share,cifs,/rci/cifs/share,yes,yes,yes,yes,,,label:String;mount:String;description:Keyword,label;mount,02_commands_core_access_storage_components_crypto(1).md:1032,entries/cifs.md
3.6,cloud control2 security-level,cloud,/rci/cloud/control2/security-level,yes,no,no,no,,,public:Keyword;private:Keyword,,02_commands_core_access_storage_components_crypto(1).md:1084,entries/cloud.md
3.7,components,components,/rci/components,no,no,no,no,(config-comp),,,,02_commands_core_access_storage_components_crypto(1).md:1121,entries/components.md
3.7.1,components auto-update channel,components,/rci/components/auto-update/channel,yes,yes,no,no,,,channel:Keyword,channel,02_commands_core_access_storage_components_crypto(1).md:1140,entries/components.md
3.7.2,components auto-update disable,components,/rci/components/auto-update/disable,yes,yes,no,yes,,,,,02_commands_core_access_storage_components_crypto(1).md:1189,entries/components.md
3.7.3,components auto-update schedule,components,/rci/components/auto-update/schedule,yes,yes,no,no,,,schedule:Schedule,schedule,02_commands_core_access_storage_components_crypto(1).md:1223,entries/components.md
3.7.4,components check-update,components,/rci/components/check-update,no,no,no,no,,,force:Keyword,,02_commands_core_access_storage_components_crypto(1).md:1264,entries/components.md
3.7.5,components commit,components,/rci/components/commit,yes,no,no,no,,,,,02_commands_core_access_storage_components_crypto(1).md:1306,entries/components.md
3.7.6,components install,components,/rci/components/install,yes,no,no,yes,,,component:String,component,02_commands_core_access_storage_components_crypto(1).md:1327,entries/components.md
3.7.7,components list,components,/rci/components/list,no,no,no,no,,,sandbox:String,,02_commands_core_access_storage_components_crypto(1).md:1359,entries/components.md
3.7.8,components preset,components,/rci/components/preset,yes,no,no,no,,,preset:Keyword,preset,02_commands_core_access_storage_components_crypto(1).md:1416,entries/components.md
3.7.9,components preview,components,/rci/components/preview,yes,no,no,no,,,,,02_commands_core_access_storage_components_crypto(1).md:1467,entries/components.md
3.7.10,components remove,components,/rci/components/remove,yes,no,no,yes,,,component:String,component,02_commands_core_access_storage_components_crypto(1).md:1495,entries/components.md
3.7.11,components validity-period,components,/rci/components/validity-period,yes,yes,no,no,,,seconds:Integer,seconds,02_commands_core_access_storage_components_crypto(1).md:1528,entries/components.md
3.1.1,copy,copy,/rci/copy,no,no,no,no,,,source:Filename;destination:Keyword,source,02_commands_core_access_storage_components_crypto(1).md:11,entries/copy.md
3.8,crypto engine,crypto,/rci/crypto/engine,yes,yes,no,no,,,type:Keyword,type,02_commands_core_access_storage_components_crypto(1).md:1571,
3.9,crypto ike key,crypto,/rci/crypto/ike/key,yes,yes,no,yes,,,name:String;psk:String;type:Keyword;id:String;any:Keyword,name;psk;type;id,02_commands_core_access_storage_components_crypto(1).md:1611,
3.10,crypto ike mtu,crypto,/rci/crypto/ike/mtu,yes,yes,no,no,,,value:Integer,,02_commands_core_access_storage_components_crypto(1).md:1666,
3.11,crypto ike nat-keepalive,crypto,/rci/crypto/ike/nat-keepalive,yes,yes,no,no,,,nat-keepalive:Keyword,,02_commands_core_access_storage_components_crypto(1).md:1706,
3.12,crypto ike policy,crypto,/rci/crypto/ike/policy,yes,yes,no,yes,(config-ike-policy),,name:String,name,02_commands_core_access_storage_components_crypto(1).md:1748,
3.12.1,crypto ike policy lifetime,crypto,/rci/crypto/ike/policy/lifetime,yes,yes,no,no,,,lifetime:Integer,lifetime,02_commands_core_access_storage_components_crypto(1).md:1791,
3.12.2,crypto ike policy mode,crypto,/rci/crypto/ike/policy/mode,yes,yes,no,no,,,mode:Keyword,mode,02_commands_core_access_storage_components_crypto(1).md:1832,
3.12.3,crypto ike policy negotiation-mode,crypto,/rci/crypto/ike/policy/negotiation-mode,yes,yes,no,no,,,negotiation-mode:Keyword,negotiation-mode,02_commands_core_access_storage_components_crypto(1).md:1872,
3.12.4,crypto ike policy proposal,crypto,/rci/crypto/ike/policy/proposal,yes,yes,no,yes,,,proposal:String,proposal,02_commands_core_access_storage_components_crypto(1).md:1917,
3.13,crypto ike proposal,crypto,/rci/crypto/ike/proposal,yes,yes,no,yes,(config-ike-proposal),,name:String,name,02_commands_core_access_storage_components_crypto(1).md:1961,
3.13.1,crypto ike proposal aead,crypto,/rci/crypto/ike/proposal/aead,no,no,no,no,,,,,02_commands_core_access_storage_components_crypto(1).md:2008,entries/crypto.md
3.13.2,crypto ike proposal dh-group,crypto,/rci/crypto/ike/proposal/dh-group,yes,yes,no,yes,,,dh-group:Keyword,dh-group,02_commands_core_access_storage_components_crypto(1).md:2032,
3.13.3,crypto ike proposal encryption,crypto,/rci/crypto/ike/proposal/encryption,yes,yes,no,yes,,,encryption:Keyword,encryption,02_commands_core_access_storage_components_crypto(1).md:2088,
